,gene_id,gene_name
181,ENSG00000226286,AL008733.1
182,ENSG00000279839,AL512383.1
183,ENSG00000272235,AL590438.1
184,ENSG00000130762,ARHGEF16
185,ENSG00000272088,AL512413.1
186,ENSG00000162591,MEGF6
187,ENSG00000207776,MIR551A
188,ENSG00000238260,AL513320.1
189,ENSG00000158109,TPRG1L
190,ENSG00000116213,WRAP73
191,ENSG00000078900,TP73
192,ENSG00000227589,AL136528.1
193,ENSG00000235131,AL136528.2
194,ENSG00000227372,TP73-AS1
195,ENSG00000276189,RF02197
196,ENSG00000162592,CCDC27
197,ENSG00000235169,SMIM1
198,ENSG00000130764,LRRC47
199,ENSG00000266075,RN7SL574P
200,ENSG00000272153,AL365330.1
201,ENSG00000116198,CEP104
202,ENSG00000169598,DFFB
203,ENSG00000198912,C1orf174
204,ENSG00000236423,LINC01134
205,ENSG00000233304,LINC01346
206,ENSG00000226374,LINC01345
207,ENSG00000284668,AL805961.1
208,ENSG00000284703,AL805961.2
209,ENSG00000229280,EEF1DP6
210,ENSG00000235054,LINC01777
211,ENSG00000284694,AL355602.1
212,ENSG00000227169,Z98747.1
213,ENSG00000232596,LINC01646
214,ENSG00000196581,AJAP1
215,ENSG00000284739,BX005132.2
216,ENSG00000284674,BX005132.1
217,ENSG00000231510,AL691497.1
218,ENSG00000284616,AL139823.1
219,ENSG00000284692,Z98259.3
220,ENSG00000284666,Z98259.2
221,ENSG00000260972,Z98259.1
222,ENSG00000283356,Z97988.1
223,ENSG00000236948,AL365255.1
224,ENSG00000264341,MIR4417
225,ENSG00000264101,MIR4689
226,ENSG00000131697,NPHP4
227,ENSG00000069424,KCNAB2
228,ENSG00000116254,CHD5
229,ENSG00000285629,AL031847.2
230,ENSG00000116251,RPL22
231,ENSG00000226944,AL031847.1
232,ENSG00000158286,RNF207
233,ENSG00000116237,ICMT
234,ENSG00000225077,LINC00337
235,ENSG00000173673,HES3
236,ENSG00000158292,GPR153
237,ENSG00000097021,ACOT7
238,ENSG00000271746,AL031848.2
239,ENSG00000069812,HES2
240,ENSG00000187017,ESPN
241,ENSG00000265392,MIR4252
242,ENSG00000231868,AL031848.1
243,ENSG00000215788,TNFRSF25
244,ENSG00000171680,PLEKHG5
245,ENSG00000162408,NOL9
246,ENSG00000253022,RNU6-731P
247,ENSG00000229519,AL591866.1
248,ENSG00000173662,TAS1R1
249,ENSG00000204859,ZBTB48
250,ENSG00000162413,KLHL21
251,ENSG00000116273,PHF13
252,ENSG00000041988,THAP3
253,ENSG00000007923,DNAJC11
254,ENSG00000228750,LINC01672
255,ENSG00000284744,AL591163.1
256,ENSG00000237436,CAMTA1-DT
257,ENSG00000171735,CAMTA1
258,ENSG00000227950,AL590128.1
259,ENSG00000237365,AL512330.1
260,ENSG00000207056,RNU1-8P
261,ENSG00000237402,CAMTA1-IT1
262,ENSG00000237728,Z97987.1
263,ENSG00000225126,AL365194.1
264,ENSG00000270171,AL359881.3
265,ENSG00000270035,AL359881.2
266,ENSG00000269978,AL359881.1
267,ENSG00000049245,VAMP3
268,ENSG00000269925,Z98884.2
269,ENSG00000049246,PER3
270,ENSG00000236266,Z98884.1
271,ENSG00000049247,UTS2
272,ENSG00000049249,TNFRSF9
273,ENSG00000270330,AL009183.1
274,ENSG00000116288,PARK7
275,ENSG00000200344,RF00019
276,ENSG00000284747,AL034417.4
277,ENSG00000284716,AL034417.3
278,ENSG00000116285,ERRFI1
279,ENSG00000238290,AL034417.2
280,ENSG00000232848,AL034417.1
281,ENSG00000229305,AL358876.1
282,ENSG00000227634,LINC01714
283,ENSG00000200975,RNU1-7P
284,ENSG00000233645,AL358876.2
285,ENSG00000251977,RNU6-991P
286,ENSG00000162426,SLC45A1
287,ENSG00000252254,RF00019
288,ENSG00000142599,RERE
289,ENSG00000232912,AL096855.1
290,ENSG00000221083,RF00599
291,ENSG00000270282,AL096855.2
292,ENSG00000234619,RPL7P11
293,ENSG00000224315,RPL7P7
294,ENSG00000222511,RF00019
295,ENSG00000226545,AL357552.1
296,ENSG00000228423,AL357552.2
297,ENSG00000229716,RPL23AP19
298,ENSG00000074800,ENO1
299,ENSG00000274258,MIR6728
300,ENSG00000230679,ENO1-AS1
301,ENSG00000201725,RNU6-304P
302,ENSG00000238249,HMGN2P17
303,ENSG00000232208,AL139415.1
304,ENSG00000232663,AL139415.2
305,ENSG00000131686,CA6
306,ENSG00000265141,RN7SL451P
307,ENSG00000197241,SLC2A7
308,ENSG00000142583,SLC2A5
309,ENSG00000252404,RF00424
310,ENSG00000180758,GPR157
311,ENSG00000228526,MIR34AHG
312,ENSG00000284357,MIR34A
313,ENSG00000234546,LNCTAM34A
314,ENSG00000049239,H6PD
315,ENSG00000171621,SPSB1
316,ENSG00000284652,BX323043.1
317,ENSG00000284693,AL928921.2
318,ENSG00000252956,RNA5SP40
319,ENSG00000235263,AL928921.1
320,ENSG00000171612,SLC25A33
321,ENSG00000231181,AL954705.1
322,ENSG00000188807,TMEM201
323,ENSG00000171608,PIK3CD
324,ENSG00000179840,PIK3CD-AS1
325,ENSG00000233268,AL691449.1
326,ENSG00000231789,PIK3CD-AS2
327,ENSG00000171603,CLSTN1
328,ENSG00000271264,MZT1P1
329,ENSG00000280113,AL357140.3
330,ENSG00000178585,CTNNBIP1
331,ENSG00000223989,AL357140.1
332,ENSG00000285701,AL357140.5
333,ENSG00000162441,LZIC
334,ENSG00000228150,AL357140.2
335,ENSG00000173614,NMNAT1
336,ENSG00000202415,RN7SKP269
337,ENSG00000283611,AL357140.4
338,ENSG00000265521,MIR5697
339,ENSG00000241326,AL603962.1
340,ENSG00000162444,RBP7
341,ENSG00000130939,UBE4B
342,ENSG00000224340,AL590639.1
343,ENSG00000233623,PGAM1P11
344,ENSG00000201746,RNU6-828P
345,ENSG00000054523,KIF1B
346,ENSG00000264881,MIR1273D
347,ENSG00000199562,RNU6-37P
348,ENSG00000264501,RN7SL731P
349,ENSG00000284735,AL139424.3
350,ENSG00000284642,AL139424.2
351,ENSG00000142657,PGD
352,ENSG00000271989,AL139424.1
353,ENSG00000251503,CENPS-CORT
354,ENSG00000175279,CENPS
355,ENSG00000241563,CORT
356,ENSG00000160049,DFFA
357,ENSG00000203469,AL354956.1
358,ENSG00000142655,PEX14
359,ENSG00000243267,RN7SL614P
360,ENSG00000130940,CASZ1
361,ENSG00000272078,AL139423.1
362,ENSG00000225158,HSPE1P24
363,ENSG00000175262,C1orf127
364,ENSG00000215785,CFL1P6
365,ENSG00000120948,TARDBP
366,ENSG00000277726,AL109811.4
367,ENSG00000009724,MASP2
368,ENSG00000271895,AL109811.3
369,ENSG00000116649,SRM
370,ENSG00000171824,EXOSC10
371,ENSG00000226849,AL109811.1
372,ENSG00000230337,AL109811.2
373,ENSG00000198793,MTOR
374,ENSG00000225602,MTOR-AS1
375,ENSG00000253086,RNU6-537P
376,ENSG00000171819,ANGPTL7
377,ENSG00000207451,RNU6-291P
378,ENSG00000238173,RPL39P6
379,ENSG00000120942,UBIAD1
380,ENSG00000238199,UBE2V2P3
381,ENSG00000284646,AL031291.1
382,ENSG00000224338,MTCYBP45
383,ENSG00000204624,DISP3
384,ENSG00000285833,AL590989.1
385,ENSG00000235643,LINC01647
386,ENSG00000284708,AL031731.1
387,ENSG00000116661,FBXO2
388,ENSG00000132879,FBXO44
389,ENSG00000116663,FBXO6
390,ENSG00000116670,MAD2L2
391,ENSG00000162490,DRAXIN
392,ENSG00000177674,AGTRAP
393,ENSG00000215910,C1orf167
394,ENSG00000177553,AL953897.1
395,ENSG00000177000,MTHFR
396,ENSG00000011021,CLCN6
397,ENSG00000276470,RF02156
398,ENSG00000278852,RF02157
399,ENSG00000175206,NPPA
400,ENSG00000275915,RF02158
401,ENSG00000120937,NPPB
402,ENSG00000224904,AL021155.1
403,ENSG00000285646,AL021155.2
404,ENSG00000199347,RNU5E-1
405,ENSG00000201801,RNU5E-4P
406,ENSG00000116685,KIAA2013
407,ENSG00000083444,PLOD1
408,ENSG00000116688,MFN2
409,ENSG00000270914,AL096840.1
410,ENSG00000116691,MIIP
411,ENSG00000202461,RF00019
412,ENSG00000276869,MIR6729
413,ENSG00000243539,RN7SL649P
414,ENSG00000120949,TNFRSF8
415,ENSG00000201135,RNU6-777P
416,ENSG00000227875,RPL23AP89
417,ENSG00000285604,AL357835.1
418,ENSG00000283789,MIR7846
419,ENSG00000028137,TNFRSF1B
420,ENSG00000263676,MIR4632
421,ENSG00000225196,RPL10P17
422,ENSG00000252969,RF00156
423,ENSG00000048707,VPS13D
424,ENSG00000239149,SNORA59A
425,ENSG00000229484,AC243836.1
426,ENSG00000162496,DHRS3
427,ENSG00000221340,RNU6ATAC18P
428,ENSG00000276830,MIR6730
429,ENSG00000272482,AC254633.1
430,ENSG00000204518,AADACL4
431,ENSG00000226166,AC244670.1
432,ENSG00000188984,AADACL3
433,ENSG00000157330,C1orf158
434,ENSG00000116726,PRAMEF12
435,ENSG00000116721,PRAMEF1
436,ENSG00000228338,LINC01784
437,ENSG00000239810,PRAMEF11
438,ENSG00000231103,PRAMEF30P
439,ENSG00000179172,HNRNPCL1
440,ENSG00000120952,PRAMEF2
441,ENSG00000243073,PRAMEF4
442,ENSG00000187545,PRAMEF10
443,ENSG00000204510,PRAMEF7
444,ENSG00000207434,RNU6-1072P
445,ENSG00000234064,PRAMEF29P
446,ENSG00000232423,PRAMEF6
447,ENSG00000274178,PRAMEF28P
448,ENSG00000274764,PRAMEF27
449,ENSG00000277058,HNRNPCL3
450,ENSG00000229571,PRAMEF25
451,ENSG00000277862,PRAMEF34P
452,ENSG00000236179,PRAMEF35P
453,ENSG00000275774,HNRNPCL2
454,ENSG00000229978,PRAMEF36P
455,ENSG00000233336,AC245056.1
456,ENSG00000280267,PRAMEF26
457,ENSG00000179412,HNRNPCL4
458,ENSG00000204505,PRAMEF9
459,ENSG00000279169,PRAMEF13
460,ENSG00000279804,PRAMEF18
461,ENSG00000250894,PRAMEF31P
462,ENSG00000270601,PRAMEF5
463,ENSG00000231219,PRAMEF32P
464,ENSG00000207511,RNU6-771P
465,ENSG00000182330,PRAMEF8
466,ENSG00000237700,PRAMEF33
467,ENSG00000204501,PRAMEF15
468,ENSG00000228229,AC243961.1
469,ENSG00000204481,PRAMEF14
470,ENSG00000204480,PRAMEF19
471,ENSG00000204479,PRAMEF17
472,ENSG00000204478,PRAMEF20
473,ENSG00000162494,LRRC38
474,ENSG00000259961,AL354712.1
475,ENSG00000215909,BRWD1P1
476,ENSG00000162493,PDPN
