,gene_id,gene_name
3605,ENSG00000143258,USP21
3606,ENSG00000143224,PPOX
3607,ENSG00000158850,B4GALT3
3608,ENSG00000158859,ADAMTS4
3609,ENSG00000158864,NDUFS2
3610,ENSG00000158869,FCER1G
3611,ENSG00000158874,APOA2
3612,ENSG00000158882,TOMM40L
3613,ENSG00000284035,MIR5187
3614,ENSG00000143257,NR1I3
3615,ENSG00000248485,PCP4L1
3616,ENSG00000158887,MPZ
3617,ENSG00000143252,SDHC
3618,ENSG00000188931,CFAP126
3619,ENSG00000236484,RRM2P2
3620,ENSG00000283696,AL592295.4
3621,ENSG00000206921,RNU6-481P
3622,ENSG00000283360,AL592295.3
3623,ENSG00000215840,AL592295.1
3624,ENSG00000277882,AL592295.2
3625,ENSG00000283317,AL831711.1
3626,ENSG00000143226,FCGR2A
3627,ENSG00000273112,AL590385.2
3628,ENSG00000173110,HSPA6
3629,ENSG00000224203,RPS23P10
3630,ENSG00000203747,FCGR3A
3631,ENSG00000224515,AL590385.1
3632,ENSG00000244682,FCGR2C
3633,ENSG00000225217,HSPA7
3634,ENSG00000231586,RPS23P9
3635,ENSG00000162747,FCGR3B
3636,ENSG00000072694,FCGR2B
3637,ENSG00000234211,AL451067.1
3638,ENSG00000213075,RPL31P11
3639,ENSG00000199595,RF00019
3640,ENSG00000132185,FCRLA
3641,ENSG00000162746,FCRLB
3642,ENSG00000241347,RN7SL466P
3643,ENSG00000081721,DUSP12
3644,ENSG00000226889,AL359541.1
3645,ENSG00000118217,ATF6
3646,ENSG00000229808,AL391825.1
3647,ENSG00000162745,OLFML2B
3648,ENSG00000227818,AL590408.1
3649,ENSG00000198929,NOS1AP
3650,ENSG00000285636,AL450163.1
3651,ENSG00000266144,MIR4654
3652,ENSG00000227094,AL512785.1
3653,ENSG00000252262,RNA5SP61
3654,ENSG00000207729,MIR556
3655,ENSG00000254706,AL512785.2
3656,ENSG00000239887,C1orf226
3657,ENSG00000171722,SPATA46
3658,ENSG00000198574,SH2D1B
3659,ENSG00000227243,SLAMF6P1
3660,ENSG00000152332,UHMK1
3661,ENSG00000227941,UQCRBP2
3662,ENSG00000259788,AL596325.1
3663,ENSG00000117143,UAP1
3664,ENSG00000272574,AL596325.2
3665,ENSG00000162733,DDR2
3666,ENSG00000243173,RN7SL861P
3667,ENSG00000132196,HSD17B7
3668,ENSG00000185860,CCDC190
3669,ENSG00000230739,AL392003.2
3670,ENSG00000227667,AL392003.1
3671,ENSG00000117152,RGS4
3672,ENSG00000143248,RGS5
3673,ENSG00000232892,AL499616.1
3674,ENSG00000225755,AL451063.1
3675,ENSG00000232995,RGS5
3676,ENSG00000237756,AL592435.1
3677,ENSG00000143228,NUF2
3678,ENSG00000225122,AL603841.1
3679,ENSG00000200327,RNA5SP62
3680,ENSG00000212527,RNA5SP63
3681,ENSG00000228289,AL355862.1
3682,ENSG00000212538,RF00012
3683,ENSG00000225719,NMNAT1P2
3684,ENSG00000199849,RNU5F-6P
3685,ENSG00000213070,HMGB3P6
3686,ENSG00000185630,PBX1
3687,ENSG00000207082,RNU6-171P
3688,ENSG00000269887,AL391001.1
3689,ENSG00000276359,RF00017
3690,ENSG00000233693,AL357568.1
3691,ENSG00000271917,AL357568.2
3692,ENSG00000201987,RF00019
3693,ENSG00000225487,AL390119.1
3694,ENSG00000201270,RNU6-755P
3695,ENSG00000162761,LMX1A
3696,ENSG00000224702,AL390730.1
3697,ENSG00000238022,AL390730.2
3698,ENSG00000143171,RXRG
3699,ENSG00000237463,AL157714.2
3700,ENSG00000230748,AL157714.1
3701,ENSG00000162763,LRRC52
3702,ENSG00000237783,AL356441.2
3703,ENSG00000236206,AL356441.1
3704,ENSG00000143198,MGST3
3705,ENSG00000143149,ALDH9A1
3706,ENSG00000206990,RF00019
3707,ENSG00000230175,AL451074.4
3708,ENSG00000225272,AL451074.3
3709,ENSG00000215838,AL451074.1
3710,ENSG00000273365,AL451074.6
3711,ENSG00000143183,TMCO1
3712,ENSG00000224358,AL451074.2
3713,ENSG00000230659,AL451074.5
3714,ENSG00000143179,UCK2
3715,ENSG00000236364,AL358115.1
3716,ENSG00000283936,MIR3658
3717,ENSG00000271527,AL606495.2
3718,ENSG00000226292,AL606495.1
3719,ENSG00000207341,RNA5SP64
3720,ENSG00000188859,FAM78B
3721,ENSG00000203307,AL626787.1
3722,ENSG00000230898,AL596087.2
3723,ENSG00000215952,MIR921
3724,ENSG00000215835,AL596087.1
3725,ENSG00000229588,AL390115.1
3726,ENSG00000225325,AL583804.1
3727,ENSG00000230231,FMO7P
3728,ENSG00000234142,LINC01675
3729,ENSG00000238087,FMO8P
3730,ENSG00000215834,FMO9P
3731,ENSG00000234984,FMO10P
3732,ENSG00000232341,RPL4P2
3733,ENSG00000232148,FMO11P
3734,ENSG00000232223,CNN2P10
3735,ENSG00000143157,POGK
3736,ENSG00000152382,TADA1
3737,ENSG00000225171,DUTP6
3738,ENSG00000143195,ILDR2
3739,ENSG00000143194,MAEL
3740,ENSG00000200036,RNA5SP65
3741,ENSG00000227907,AL158837.1
3742,ENSG00000143167,GPA33
3743,ENSG00000198842,DUSP27
3744,ENSG00000213068,AL451050.1
3745,ENSG00000231605,LINC01363
3746,ENSG00000272205,AL451050.2
3747,ENSG00000143190,POU2F1
3748,ENSG00000272033,AL136984.1
3749,ENSG00000198821,CD247
3750,ENSG00000233411,AL359962.1
3751,ENSG00000273160,AL359962.2
3752,ENSG00000227776,AKR1D1P1
3753,ENSG00000143162,CREG1
3754,ENSG00000231029,AL031733.1
3755,ENSG00000241666,AL031733.2
3756,ENSG00000198771,RCSD1
3757,ENSG00000197965,MPZL1
3758,ENSG00000143199,ADCY10
3759,ENSG00000250762,Z99943.2
3760,ENSG00000232194,Z99943.1
3761,ENSG00000143158,MPC2
3762,ENSG00000143164,DCAF6
3763,ENSG00000221545,MIR1255B2
3764,ENSG00000224837,GCSHP5
3765,ENSG00000143147,GPR161
3766,ENSG00000143155,TIPRL
3767,ENSG00000237049,RPL34P1
3768,ENSG00000237131,AL021397.1
3769,ENSG00000213064,SFT2D2
3770,ENSG00000214262,ANKRD36BP1
3771,ENSG00000206880,RNU6-1310P
3772,ENSG00000143178,TBX19
3773,ENSG00000227722,AL022100.1
3774,ENSG00000207974,MIR557
3775,ENSG00000228697,AL023755.1
3776,ENSG00000283255,AL022100.2
3777,ENSG00000215833,QRSL1P1
3778,ENSG00000143185,XCL2
3779,ENSG00000227777,AL031736.1
3780,ENSG00000143184,XCL1
3781,ENSG00000229757,AL031736.2
3782,ENSG00000143196,DPT
3783,ENSG00000285622,AL135926.1
3784,ENSG00000235736,AL031275.1
3785,ENSG00000225826,LINC00626
3786,ENSG00000229612,SUMO1P2
3787,ENSG00000203601,LINC00970
3788,ENSG00000213063,RPL29P7
3789,ENSG00000252987,RNA5SP66
3790,ENSG00000237707,AL031726.1
3791,ENSG00000143153,ATP1B1
3792,ENSG00000143156,NME7
3793,ENSG00000235575,Z99758.1
3794,ENSG00000117475,BLZF1
3795,ENSG00000117477,CCDC181
3796,ENSG00000117479,SLC19A2
3797,ENSG00000234604,AL021068.2
3798,ENSG00000213062,AL021068.1
3799,ENSG00000198734,F5
3800,ENSG00000174175,SELP
3801,ENSG00000000460,C1orf112
3802,ENSG00000188404,SELL
3803,ENSG00000007908,SELE
3804,ENSG00000230704,AL021940.1
3805,ENSG00000171806,METTL18
3806,ENSG00000000457,SCYL3
3807,ENSG00000239494,RN7SL333P
3808,ENSG00000075945,KIFAP3
3809,ENSG00000243051,RN7SL269P
3810,ENSG00000235378,MRPS10P1
3811,ENSG00000232959,AL356475.1
3812,ENSG00000224896,SIGLEC30P
3813,ENSG00000203740,METTL11B
3814,ENSG00000283340,MIR3119-1
3815,ENSG00000263390,MIR3119-2
3816,ENSG00000233985,LINC01681
3817,ENSG00000238051,ISCUP1
3818,ENSG00000224286,LINC01142
3819,ENSG00000226967,HAUS4P1
3820,ENSG00000231407,AL354732.1
3821,ENSG00000120370,GORAB
3822,ENSG00000225545,AL162399.1
3823,ENSG00000235303,AL023495.1
3824,ENSG00000116132,PRRX1
3825,ENSG00000271811,Z97200.1
3826,ENSG00000117501,MROH9
3827,ENSG00000226552,BX284613.1
3828,ENSG00000007933,FMO3
3829,ENSG00000221390,MIR1295A
3830,ENSG00000283598,MIR1295B
3831,ENSG00000117507,FMO6P
3832,ENSG00000094963,FMO2
3833,ENSG00000225243,AL021026.1
3834,ENSG00000231424,AL445673.1
3835,ENSG00000010932,FMO1
3836,ENSG00000206692,RF00019
3837,ENSG00000230547,HMGB1P11
3838,ENSG00000076258,FMO4
3839,ENSG00000285665,AL031274.1
3840,ENSG00000268062,SRP14P4
3841,ENSG00000239428,GM2AP2
3842,ENSG00000234333,CYCSP53
3843,ENSG00000117523,PRRC2C
3844,ENSG00000283683,MYOCOS
3845,ENSG00000034971,MYOC
3846,ENSG00000233328,PFN1P1
3847,ENSG00000230364,RPL4P3
3848,ENSG00000117533,VAMP4
3849,ENSG00000232261,Z98751.1
3850,ENSG00000271459,Z98751.3
3851,ENSG00000236741,Z98751.2
3852,ENSG00000253060,RF00601
3853,ENSG00000010165,METTL13
3854,ENSG00000213060,AL031864.1
3855,ENSG00000224600,AL031864.2
3856,ENSG00000197959,DNM3
3857,ENSG00000233540,DNM3-IT1
3858,ENSG00000230630,DNM3OS
3859,ENSG00000283844,MIR214
3860,ENSG00000283152,MIR3120
3861,ENSG00000208024,MIR199A2
3862,ENSG00000206684,RNU6-157P
3863,ENSG00000135845,PIGC
3864,ENSG00000180999,C1orf105
3865,ENSG00000094975,SUCO
3866,ENSG00000251943,RNU6-693P
3867,ENSG00000117560,FASLG
3868,ENSG00000229785,SLC25A38P1
3869,ENSG00000279061,Z98043.1
3870,ENSG00000224228,AL031599.1
3871,ENSG00000227177,AIMP1P2
3872,ENSG00000224000,Z97198.1
3873,ENSG00000120337,TNFSF18
3874,ENSG00000230849,GOT2P2
3875,ENSG00000226375,AL022310.1
3876,ENSG00000117586,TNFSF4
3877,ENSG00000232751,AL645568.3
3878,ENSG00000231615,AL645568.2
3879,ENSG00000203739,AL645568.1
3880,ENSG00000117592,PRDX6
3881,ENSG00000162753,SLC9C2
3882,ENSG00000238272,AL139142.1
3883,ENSG00000285777,AL139142.2
3884,ENSG00000183831,ANKRD45
3885,ENSG00000232113,TEX50
3886,ENSG00000076321,KLHL20
3887,ENSG00000225591,BX248409.1
3888,ENSG00000200674,RN7SKP160
3889,ENSG00000120334,CENPL
3890,ENSG00000252357,RF00019
3891,ENSG00000117593,DARS2
3892,ENSG00000270084,GAS5-AS1
3893,ENSG00000234741,GAS5
3894,ENSG00000185278,ZBTB37
3895,ENSG00000117601,SERPINC1
3896,ENSG00000252231,RNA5SP67
3897,ENSG00000135870,RC3H1
3898,ENSG00000200755,RNA5SP68
3899,ENSG00000236535,RC3H1-IT1
3900,ENSG00000224977,AL121983.1
3901,ENSG00000225713,RPL30P1
3902,ENSG00000227373,AL121983.2
3903,ENSG00000152061,RABGAP1L
3904,ENSG00000237317,AL022400.1
3905,ENSG00000203737,GPR52
3906,ENSG00000223828,BANF1P4
3907,ENSG00000231378,NDUFAF4P4
3908,ENSG00000237249,Z99127.3
3909,ENSG00000223525,RABGAP1L-IT1
3910,ENSG00000235869,Z99127.2
3911,ENSG00000229531,Z99127.1
3912,ENSG00000252552,RNU6-307P
3913,ENSG00000116161,CACYBP
3914,ENSG00000120333,MRPS14
3915,ENSG00000206659,RF00019
3916,ENSG00000181101,SDCCAG3P2
3917,ENSG00000120332,TNN
3918,ENSG00000235750,KIAA0040
3919,ENSG00000230687,AL008626.1
3920,ENSG00000233946,RPS29P4
3921,ENSG00000260990,Z94057.1
3922,ENSG00000116147,TNR
3923,ENSG00000235628,TNR-IT1
3924,ENSG00000224718,LINC01657
3925,ENSG00000227740,AL513329.1
3926,ENSG00000230777,RPS29P5
3927,ENSG00000143207,COP1
3928,ENSG00000252906,SCARNA3
3929,ENSG00000228686,AL590723.1
3930,ENSG00000236021,AL359265.3
3931,ENSG00000273629,RF00066
3932,ENSG00000232463,AL359265.2
3933,ENSG00000253025,RNU2-12P
3934,ENSG00000227815,AL359265.1
3935,ENSG00000231020,AL591043.1
3936,ENSG00000225904,MORF4L1P7
3937,ENSG00000116183,PAPPA2
3938,ENSG00000237514,PTP4A1P7
3939,ENSG00000152092,ASTN1
3940,ENSG00000202609,MIR488
3941,ENSG00000198797,BRINP2
3942,ENSG00000224968,LINC01645
3943,ENSG00000227579,AL122019.1
3944,ENSG00000236720,LINC01741
3945,ENSG00000120341,SEC16B
3946,ENSG00000254154,CRYZL2P-SEC16B
3947,ENSG00000242193,CRYZL2P
3948,ENSG00000276563,AL359075.1
3949,ENSG00000224687,RASAL2-AS1
3950,ENSG00000075391,RASAL2
3951,ENSG00000270575,AL160281.1
3952,ENSG00000213058,AL365357.1
3953,ENSG00000188585,CLEC20A
3954,ENSG00000264809,RF00017
3955,ENSG00000285910,AL513013.1
3956,ENSG00000240021,TEX35
3957,ENSG00000213057,C1orf220
3958,ENSG00000201347,RNA5SP69
3959,ENSG00000273384,AL137796.1
3960,ENSG00000266417,MIR4424
3961,ENSG00000273062,AL449106.1
3962,ENSG00000116191,RALGPS2
3963,ENSG00000228196,PTPN2P1
3964,ENSG00000201791,RF00092
3965,ENSG00000116194,ANGPTL1
3966,ENSG00000116199,FAM20B
3967,ENSG00000232750,AL139132.1
3968,ENSG00000186283,TOR3A
3969,ENSG00000143322,ABL2
3970,ENSG00000234041,AL512326.3
3971,ENSG00000231905,SETP10
3972,ENSG00000212338,RF00272
3973,ENSG00000201619,RF00272
3974,ENSG00000231564,EIF4A1P11
3975,ENSG00000225711,AL512326.1
3976,ENSG00000223794,COX5BP8
3977,ENSG00000228191,AL512326.2
3978,ENSG00000057252,SOAT1
3979,ENSG00000162779,AXDND1
3980,ENSG00000224620,MEF2AP1
3981,ENSG00000236539,HNRNPA1P54
3982,ENSG00000261250,AL160286.3
3983,ENSG00000116218,NPHS2
3984,ENSG00000251875,RNU5F-2P
3985,ENSG00000227141,AL160286.1
3986,ENSG00000261060,AL160286.2
3987,ENSG00000162782,TDRD5
3988,ENSG00000243062,AL359853.3
3989,ENSG00000143340,FAM163A
3990,ENSG00000229407,AL359853.1
3991,ENSG00000231966,AL359853.2
3992,ENSG00000169905,TOR1AIP2
3993,ENSG00000272906,AL353708.3
3994,ENSG00000143337,TOR1AIP1
3995,ENSG00000264916,RN7SL230P
3996,ENSG00000261831,AL353708.2
3997,ENSG00000260360,AL353708.1
3998,ENSG00000135837,CEP350
3999,ENSG00000235145,RPSAP16
4000,ENSG00000223450,AL590632.1
4001,ENSG00000261817,AL390718.1
4002,ENSG00000116260,QSOX1
4003,ENSG00000121454,LHX4
4004,ENSG00000230124,ACBD6
4005,ENSG00000235060,VDAC1P4
4006,ENSG00000265435,MIR3121
4007,ENSG00000206905,RF00019
4008,ENSG00000236719,OVAAL
4009,ENSG00000143324,XPR1
4010,ENSG00000283575,RF00026
4011,ENSG00000225857,AL162431.1
4012,ENSG00000135835,KIAA1614
4013,ENSG00000243155,AL162431.2
4014,ENSG00000232586,KIAA1614-AS1
4015,ENSG00000251520,AL162431.3
4016,ENSG00000270711,AL162431.4
4017,ENSG00000135823,STX6
4018,ENSG00000153029,MR1
4019,ENSG00000162783,IER5
4020,ENSG00000237292,LINC01732
4021,ENSG00000225359,AL358393.1
4022,ENSG00000179452,LINC01699
4023,ENSG00000198216,CACNA1E
4024,ENSG00000273573,RF00017
4025,ENSG00000252977,RNA5SP70
4026,ENSG00000272880,AL161734.1
4027,ENSG00000222397,RN7SKP229
4028,ENSG00000179930,ZNF648
4029,ENSG00000224810,AL355482.1
4030,ENSG00000225982,AL355482.2
4031,ENSG00000232309,AL390856.1
4032,ENSG00000228918,LINC01344
4033,ENSG00000232096,YPEL5P1
4034,ENSG00000206764,RNU6-152P
4035,ENSG00000228664,AL513480.1
4036,ENSG00000231684,EIF1P3
4037,ENSG00000135821,GLUL
4038,ENSG00000203730,TEDDM1
4039,ENSG00000203729,LINC00272
4040,ENSG00000121446,RGSL1
4041,ENSG00000270443,AL139344.1
4042,ENSG00000233537,TEDDM2P
4043,ENSG00000135828,RNASEL
4044,ENSG00000276839,RF00017
4045,ENSG00000143333,RGS16
4046,ENSG00000261504,LINC01686
4047,ENSG00000135824,RGS8
4048,ENSG00000227181,LINC01688
4049,ENSG00000271269,AL353778.1
4050,ENSG00000135838,NPL
4051,ENSG00000135829,DHX9
4052,ENSG00000157060,SHCBP1L
4053,ENSG00000224040,HMGN1P4
4054,ENSG00000199837,RNA5SP71
4055,ENSG00000285609,AL450304.2
4056,ENSG00000226570,AL450304.1
4057,ENSG00000176855,KRT18P28
4058,ENSG00000207472,RNU6-41P
4059,ENSG00000135862,LAMC1
4060,ENSG00000224468,LAMC1-AS1
4061,ENSG00000058085,LAMC2
4062,ENSG00000157064,NMNAT2
4063,ENSG00000233562,AL356981.1
4064,ENSG00000232860,SMG7-AS1
4065,ENSG00000116698,SMG7
4066,ENSG00000116701,NCF2
4067,ENSG00000162704,ARPC5
4068,ENSG00000143344,RGL1
4069,ENSG00000173627,APOBEC4
4070,ENSG00000270994,AL157899.1
4071,ENSG00000227554,AL590422.1
4072,ENSG00000198756,COLGALT2
4073,ENSG00000198860,TSEN15
4074,ENSG00000199840,RF00019
4075,ENSG00000207080,RF00019
4076,ENSG00000231791,AL445228.1
4077,ENSG00000244568,RN7SL654P
4078,ENSG00000271387,AL445228.2
4079,ENSG00000116667,C1orf21
4080,ENSG00000230470,AL078645.1
4081,ENSG00000232036,AL078645.2
4082,ENSG00000285847,AL713852.1
4083,ENSG00000116406,EDEM3
4084,ENSG00000135842,FAM129A
4085,ENSG00000252222,RNU7-13P
4086,ENSG00000260976,LINC01633
4087,ENSG00000201312,RNA5SP72
4088,ENSG00000121481,RNF2
4089,ENSG00000232792,FTH1P25
4090,ENSG00000121486,TRMT1L
4091,ENSG00000116668,SWT1
4092,ENSG00000231084,RPL22P24
4093,ENSG00000213051,RPL5P5
4094,ENSG00000201421,RF00019
4095,ENSG00000206640,RF00019
4096,ENSG00000233583,AL356273.1
4097,ENSG00000252612,RF00019
4098,ENSG00000238061,AL356273.2
4099,ENSG00000279838,AL356273.3
4100,ENSG00000116679,IVNS1ABP
4101,ENSG00000273004,AL078644.1
4102,ENSG00000261024,GS1-279B7.1
4103,ENSG00000252407,RNU7-183P
4104,ENSG00000270920,MCRIP2P2
4105,ENSG00000279401,AL133383.2
4106,ENSG00000228309,LINC01350
4107,ENSG00000207108,RF00019
4108,ENSG00000201596,RF00019
4109,ENSG00000261729,AL133383.1
4110,ENSG00000143341,HMCN1
4111,ENSG00000224691,AL133553.1
4112,ENSG00000116690,PRG4
4113,ENSG00000047410,TPR
4114,ENSG00000202025,RNU6-1240P
4115,ENSG00000157181,ODR4
4116,ENSG00000262180,OCLM
4117,ENSG00000229739,AL596220.1
4118,ENSG00000116703,PDC
4119,ENSG00000273198,AL096803.3
4120,ENSG00000228238,AL096803.1
4121,ENSG00000233196,AL096803.2
4122,ENSG00000073756,PTGS2
4123,ENSG00000273129,PACERR
4124,ENSG00000116711,PLA2G4A
4125,ENSG00000230426,ERVMER61-1
4126,ENSG00000271558,AL391813.1
4127,ENSG00000225462,FDPSP1
4128,ENSG00000274702,AL357559.1
4129,ENSG00000236401,SLC4A1APP2
4130,ENSG00000223847,AL645474.1
4131,ENSG00000285894,AL136372.2
4132,ENSG00000150732,AL136372.1
4133,ENSG00000222240,RN7SKP156
4134,ENSG00000261182,AL596211.1
4135,ENSG00000224278,AL592447.1
4136,ENSG00000225006,AL929288.1
4137,ENSG00000235083,AL929288.2
4138,ENSG00000231022,RPS3AP9
4139,ENSG00000237283,AL691515.1
4140,ENSG00000238054,AL691515.2
4141,ENSG00000226486,LINC01035
4142,ENSG00000271036,CLPTM1LP1
4143,ENSG00000226196,GAPDHP75
4144,ENSG00000252553,RNA5SP73
4145,ENSG00000232212,LINC01701
4146,ENSG00000238270,AL591504.1
4147,ENSG00000230987,AL359976.1
4148,ENSG00000162670,BRINP3
4149,ENSG00000225811,AL354771.1
4150,ENSG00000237457,LINC01351
4151,ENSG00000241505,AL391645.1
4152,ENSG00000231175,LINC01720
4153,ENSG00000236025,AL139135.1
4154,ENSG00000238108,AL139135.2
4155,ENSG00000285638,AL138927.1
4156,ENSG00000228020,HNRNPA1P46
4157,ENSG00000261642,AL713866.1
4158,ENSG00000271187,AL713866.2
4159,ENSG00000233882,LINC01680
4160,ENSG00000223344,AL359081.1
4161,ENSG00000228215,AL954650.1
4162,ENSG00000150681,RGS18
4163,ENSG00000285280,AL390957.1
4164,ENSG00000226723,AL513175.1
4165,ENSG00000236792,AL513175.2
4166,ENSG00000253148,RGS21
4167,ENSG00000236069,AL136987.1
4168,ENSG00000090104,RGS1
4169,ENSG00000127074,RGS13
4170,ENSG00000231767,AL136454.1
4171,ENSG00000283795,MIR4426
4172,ENSG00000228687,AL035407.2
4173,ENSG00000226814,AL035407.1
4174,ENSG00000116741,RGS2
4175,ENSG00000223075,RN7SKP126
4176,ENSG00000234473,ZNF101P2
4177,ENSG00000116750,UCHL5
4178,ENSG00000238754,SCARNA18B
4179,ENSG00000116747,TROVE2
4180,ENSG00000023572,GLRX2
4181,ENSG00000134371,CDC73
4182,ENSG00000221680,MIR1278
4183,ENSG00000162630,B3GALT2
4184,ENSG00000276735,RF00017
4185,ENSG00000232077,LINC01031
4186,ENSG00000226640,AL357793.1
4187,ENSG00000237011,AL357793.2
4188,ENSG00000237213,RPL23AP22
4189,ENSG00000227240,AL356272.1
4190,ENSG00000233057,EEF1A1P14
4191,ENSG00000231714,AL513348.1
4192,ENSG00000251813,RNU6-983P
4193,ENSG00000228167,AL353072.1
4194,ENSG00000285718,AL353072.2
4195,ENSG00000227421,LINC01724
4196,ENSG00000162687,KCNT2
4197,ENSG00000265986,MIR4735
4198,ENSG00000000971,CFH
4199,ENSG00000116785,CFHR3
4200,ENSG00000244414,CFHR1
4201,ENSG00000285986,BX248415.1
4202,ENSG00000134365,CFHR4
4203,ENSG00000080910,CFHR2
4204,ENSG00000273844,AL139418.1
4205,ENSG00000134389,CFHR5
4206,ENSG00000143278,F13B
4207,ENSG00000066279,ASPM
4208,ENSG00000235748,SEPT14P12
4209,ENSG00000177888,ZBTB41
4210,ENSG00000237861,AL513325.1
4211,ENSG00000134376,CRB1
4212,ENSG00000221879,MRPS21P3
4213,ENSG00000230260,AL136322.1
4214,ENSG00000213047,DENND1B
4215,ENSG00000207139,RF00019
4216,ENSG00000213046,EEF1A1P32
4217,ENSG00000235582,AL365258.2
4218,ENSG00000233040,FAM204BP
4219,ENSG00000224901,AL365258.1
4220,ENSG00000203724,C1orf53
4221,ENSG00000143355,LHX9
4222,ENSG00000151414,NEK7
4223,ENSG00000232824,PRR13P1
4224,ENSG00000151418,ATP6V1G3
4225,ENSG00000223881,AL157402.1
4226,ENSG00000081237,PTPRC
4227,ENSG00000261573,AL157402.2
4228,ENSG00000236278,PEBP1P3
4229,ENSG00000229989,MIR181A1HG
4230,ENSG00000207975,MIR181B1
4231,ENSG00000207759,MIR181A1
4232,ENSG00000227747,AC096631.2
4233,ENSG00000225172,AC096631.1
4234,ENSG00000233410,LINC01222
4235,ENSG00000235492,LINC01221
4236,ENSG00000231718,AC099673.1
4237,ENSG00000228190,RPL23AP16
4238,ENSG00000236468,AC099335.1
4239,ENSG00000231984,AL596266.1
4240,ENSG00000228530,AL445687.1
4241,ENSG00000200139,RNU6-778P
4242,ENSG00000229747,AL445687.2
4243,ENSG00000202491,RNU6-716P
4244,ENSG00000202329,RNU6-609P
4245,ENSG00000116833,NR5A2
4246,ENSG00000252860,RNU6-570P
4247,ENSG00000229220,AC096633.1
4248,ENSG00000233827,CCNQP1
4249,ENSG00000203721,LINC00862
4250,ENSG00000273093,AC097065.2
4251,ENSG00000213045,AC097065.1
4252,ENSG00000230623,AC104461.1
4253,ENSG00000162702,ZNF281
4254,ENSG00000282849,AL359834.1
4255,ENSG00000118193,KIF14
4256,ENSG00000118197,DDX59
4257,ENSG00000260088,AL445483.1
4258,ENSG00000118200,CAMSAP2
4259,ENSG00000231333,RPL34P6
4260,ENSG00000170128,GPR25
4261,ENSG00000163362,INAVA
4262,ENSG00000233217,MROH3P
4263,ENSG00000201032,RNU6-704P
4264,ENSG00000116852,KIF21B
4265,ENSG00000229191,AL358473.1
4266,ENSG00000234132,AL358473.2
4267,ENSG00000081248,CACNA1S
4268,ENSG00000232237,ASCL5
4269,ENSG00000116857,TMEM9
4270,ENSG00000163395,IGFN1
4271,ENSG00000229821,AC103925.1
4272,ENSG00000081277,PKP1
4273,ENSG00000118194,TNNT2
4274,ENSG00000159166,LAD1
4275,ENSG00000282221,AC119427.1
4276,ENSG00000159173,TNNI1
4277,ENSG00000227048,AC096677.3
4278,ENSG00000224818,AC096677.2
4279,ENSG00000174307,PHLDA3
4280,ENSG00000159176,CSRP1
4281,ENSG00000224536,AC096677.1
4282,ENSG00000223396,RPS10P7
4283,ENSG00000134369,NAV1
4284,ENSG00000236390,AC092800.1
4285,ENSG00000231871,IPO9-AS1
4286,ENSG00000264802,MIR5191
4287,ENSG00000235121,AL645504.1
4288,ENSG00000200942,RNU6-501P
4289,ENSG00000221028,MIR1231
4290,ENSG00000198700,IPO9
4291,ENSG00000277681,MIR6739
4292,ENSG00000198892,SHISA4
4293,ENSG00000223774,AL513217.1
4294,ENSG00000163431,LMOD1
4295,ENSG00000134375,TIMM17A
4296,ENSG00000206637,RF00156
4297,ENSG00000238003,RPL10P4
4298,ENSG00000176393,RNPEP
4299,ENSG00000234678,ELF3-AS1
4300,ENSG00000275207,MIR6740
4301,ENSG00000163435,ELF3
4302,ENSG00000249007,AL691482.3
4303,ENSG00000232296,AL691482.1
4304,ENSG00000235811,AL691482.2
4305,ENSG00000212512,RF00019
4306,ENSG00000227109,CRIP1P3
4307,ENSG00000170075,GPR37L1
4308,ENSG00000143862,ARL8A
4309,ENSG00000143851,PTPN7
4310,ENSG00000243323,PTPRVP
4311,ENSG00000133067,LGR6
4312,ENSG00000077152,UBE2T
4313,ENSG00000077157,PPP1R12B
4314,ENSG00000229120,CYCSP4
4315,ENSG00000272262,RNU6-89P
4316,ENSG00000232626,AC099336.1
4317,ENSG00000236439,AC099336.2
4318,ENSG00000253042,RF00156
4319,ENSG00000143858,SYT2
4320,ENSG00000226862,AC104463.2
4321,ENSG00000225620,AC104463.1
4322,ENSG00000117139,KDM5B
4323,ENSG00000235449,AC098934.3
4324,ENSG00000226148,SLC25A39P1
4325,ENSG00000260021,AC098934.4
4326,ENSG00000228288,PCAT6
4327,ENSG00000184774,MGAT4EP
4328,ENSG00000214796,AC098934.1
4329,ENSG00000234996,AC098934.2
4330,ENSG00000183155,RABIF
4331,ENSG00000117153,KLHL12
4332,ENSG00000230280,HNRNPA1P59
4333,ENSG00000199471,RF00019
4334,ENSG00000159346,ADIPOR1
4335,ENSG00000159348,CYB5R1
4336,ENSG00000234761,AC096632.2
4337,ENSG00000231547,AC096632.1
4338,ENSG00000163444,TMEM183A
4339,ENSG00000143847,PPFIA4
4340,ENSG00000122180,MYOG
4341,ENSG00000163485,ADORA1
4342,ENSG00000234775,AC105940.2
4343,ENSG00000224671,AC105940.1
4344,ENSG00000133055,MYBPH
4345,ENSG00000133048,CHI3L1
4346,ENSG00000133063,CHIT1
4347,ENSG00000236523,NPM1P40
4348,ENSG00000231507,LINC01353
4349,ENSG00000233791,LINC01136
4350,ENSG00000159388,BTG2
4351,ENSG00000202300,RNU6-487P
4352,ENSG00000122176,FMOD
4353,ENSG00000229652,AL359837.1
4354,ENSG00000271588,LARP7P1
